"","REF. NO.","PART NO.","PART","Description/Remarks"
"","L301","4011029","PL3A 3K TR",""
"","L302","125-022C","CORE, FERRITE",""
"","L303","125-022B","CORE, FERRITE SM-2CRHW 3.5 × 12 × 1B",""
"","L701","150-166F","COIL, CHOKE 3.3uH A1",""
"","L703","150-308V","COIL, H. WIDTH",""
"","L704","150-399B","COIL, H. LINEARITY",""
"","L705","125-022C","CORE, FERRITE",""
"⚠","L901","150-314A","COIL, LINE FILTER, 20MH",""
"","L902","125-022C","CORE, FERRITE",""
"","L903","4011029","PL3R 3K TR",""
"","L930","125-022C","CORE, FERRITE",""
"","L931","150-235F","COIL, CHOKE 25UH A1",""
"","L932","125-022C","CORE, FERRITE",""
"","L933","150-235F","COIL, CHOKE 25uH A1",""
"⚠","T701","154-090A","FBT MBH-2155N, MT-21 35.7KHz","Recommended service part, critical component"
"⚠","T901","151-284B","TRANSFORMER, SMPS","Recommended service part, critical component"
"","P301","366-9218","WAFER IL-G3 (2.5S)",""
"","P302","366-065B","PIN. AMP ULTREX 17268-3",""
"","P401","366-065B","PIN, AMP ULTREX 17268-3",""
"","P402","366-065B","PIN, AMP ULTREX 17268-3",""
"","P601","366-084A","PIN MOLEX 5267-3A",""
"","P602","366-921C","WAFER IL-G4 (2.5S)",""
"","P701","366-084A","PIN MOLEX 5267-3A",""
"","P702","366-009B","PIN PLUG",""
"","P902","366-065B","PIN, AMP ULTREX 17268-3",""
"","P1","366-059A","PIN MOLEX 5096-02C",""
"","P2","366-059A","PIN MOLEX 5096-02C",""
"","F901","131-007T","FUSE. TIME LAG 1.6A/250V",""
"","DY","153-071A","DY ASSY, MONITOR MH3-1","Recommended service part"
"⚠","CRT","112-123F","MDT, 310KAB4K (UL.CSA/VDE)","Recommended service part"
"","SG301","165-004A","SPARK GAP. AG20PT 152F-L3N","Recommended service part, critical component"
"","SG302","165-004A","SPARK GAP, AG20PT 152F-L3N",""
"","SG303","165-004A","SPARK GAP, AG20PT 152F-L3N",""
"","NL301","144-018B","NEON LAMP 95V",""
"","FUSE HOLD","430-122A","FUSE HOLDER",""
"","SOCKET","381-067E","SOCKET. CRT",""
"","SIGNAL CABLE","387-369E","CONNECTOR ASSY, SIGNAL",""
"","POWER CORD","174-1218","CORD ASSY, POWER 6FT GY (VDE)",""
"","CRT EARTH","387-131B","CONNECTOR ASSY, HIUSING",""
"","SPEAKER","120-017B","SPEAKER. CO80A21GB",""
"","CONNECTOR","387-923F","CONNECTOR ASSY, Horizontal Deflection Yoke",""
"","CONNECTOR","387-923G","CONNECTOR ASSY, Vertical Deflection Yoke",""
"","CONNECTOR","387-923H","CONNECTOR ASSY, AMP (SPEAKER)",""
"","CONNECTOR","387-352T","CONNECTOR ASSY, HOUSING (P1)",""
"","CONNECTOR","387-922D","CONNECTOR ASSY, AMP ULTREX (CONTRAST & BRIGHT VR)",""
"","CONNECTOR","387-923B","CONNECTOR ASSY, AMP VOLUME (SOUND)",""
"","CONNECTOR","387-923J","CONNECTOR ASSY. AMP (LED)",""
"","POWER SWITCH","180-291A","SWITCH EVV-G6LF 20B14",""
"","PWB","111-895A","MAIN PWB MT-21",""
